iter	Passed	Remaining
0	115	115236
1	117	58671
2	119	39704
3	121	30193
4	123	24519
5	124	20666
6	126	17884
7	127	15828
8	128	14185
9	129	12860
10	131	11779
11	131	10866
12	132	10086
13	133	9416
14	134	8833
15	135	8321
16	136	7866
17	136	7467
18	137	7101
19	138	6772
20	138	6476
21	139	6202
22	140	5955
23	141	5740
24	141	5537
25	142	5347
26	143	5178
27	144	5012
28	145	4860
29	145	4716
30	146	4583
31	147	4461
32	148	4344
33	149	4238
34	149	4134
35	150	4038
36	151	3946
37	152	3856
38	153	3770
39	154	3696
40	154	3623
41	155	3549
42	156	3478
43	157	3411
44	157	3352
45	158	3291
46	159	3231
47	160	3175
48	160	3120
49	161	3067
50	162	3016
51	162	2968
52	163	2922
53	164	2876
54	164	2834
55	165	2793
56	166	2752
57	167	2712
58	167	2674
59	168	2637
60	169	2604
61	169	2571
62	170	2538
63	171	2506
64	172	2475
65	172	2444
66	173	2415
67	173	2383
68	174	2356
69	175	2332
70	176	2306
71	176	2280
72	177	2254
73	178	2230
74	178	2206
75	179	2182
76	180	2159
77	180	2139
78	181	2120
79	182	2100
80	183	2080
81	184	2060
82	184	2041
83	185	2021
84	185	2000
85	186	1982
86	187	1963
87	187	1947
88	188	1931
89	189	1915
90	190	1899
91	190	1883
92	191	1867
93	192	1852
94	192	1836
95	193	1823
96	194	1809
97	195	1797
98	195	1783
99	196	1769
100	197	1756
101	197	1739
102	198	1727
103	199	1714
104	199	1703
105	200	1692
106	201	1680
107	202	1668
108	202	1657
109	203	1645
110	204	1633
111	204	1623
112	205	1611
113	206	1601
114	206	1591
115	207	1580
116	207	1569
117	208	1559
118	209	1548
119	209	1538
120	210	1528
121	211	1519
122	211	1507
123	212	1498
124	212	1489
125	213	1481
126	214	1472
127	214	1462
128	215	1453
129	215	1445
130	216	1436
131	217	1428
132	217	1420
133	218	1413
134	219	1405
135	220	1398
136	220	1390
137	221	1382
138	221	1374
139	222	1367
140	223	1359
141	223	1353
142	224	1347
143	225	1341
144	226	1335
145	227	1328
146	227	1321
147	228	1314
148	228	1307
149	229	1301
150	230	1294
151	230	1288
152	231	1282
153	232	1276
154	233	1271
155	233	1264
156	234	1258
157	235	1252
158	235	1246
159	236	1240
160	236	1234
161	237	1229
162	238	1224
163	239	1219
164	239	1213
165	240	1207
166	241	1202
167	241	1197
168	242	1191
169	243	1187
170	244	1182
171	244	1178
172	245	1173
173	246	1167
174	246	1162
175	247	1157
176	247	1152
177	248	1148
178	249	1144
179	250	1140
180	250	1134
181	251	1130
182	252	1125
183	252	1120
184	253	1116
185	253	1111
186	254	1106
187	255	1102
188	256	1098
189	256	1094
190	257	1090
191	258	1086
192	258	1082
193	259	1078
194	260	1074
195	260	1070
196	261	1066
197	262	1063
198	263	1059
199	263	1055
200	264	1051
201	265	1047
202	265	1043
203	266	1039
204	267	1035
205	267	1031
206	268	1029
207	269	1025
208	270	1022
209	270	1018
210	271	1014
211	271	1010
212	272	1007
213	273	1003
214	273	999
215	274	996
216	275	993
217	276	990
218	276	986
219	277	983
220	277	979
221	278	976
222	279	972
223	279	969
224	280	966
225	281	964
226	282	961
227	282	958
228	283	954
229	284	951
230	284	947
231	285	944
232	285	941
233	286	938
234	287	936
235	288	933
236	288	929
237	289	927
238	290	923
239	290	920
240	291	918
241	292	915
242	292	912
243	293	910
244	294	907
245	295	904
246	295	901
247	296	898
248	296	895
249	297	892
250	298	890
251	298	887
252	299	884
253	300	882
254	301	879
255	301	877
256	302	874
257	303	871
258	303	868
259	304	866
260	304	863
261	305	860
262	306	858
263	306	855
264	307	853
265	308	850
266	308	848
267	309	845
268	310	843
269	310	840
270	311	837
271	312	835
272	313	833
273	313	831
274	314	828
275	315	826
276	315	823
277	316	821
278	316	818
279	317	816
280	318	814
281	318	811
282	319	809
283	320	807
284	320	805
285	321	802
286	322	800
287	322	798
288	323	795
289	324	793
290	324	791
291	325	789
292	326	787
293	327	785
294	327	783
295	328	780
296	328	778
297	329	776
298	330	774
299	331	772
300	331	770
301	332	768
302	333	766
303	333	764
304	334	762
305	335	760
306	335	758
307	336	755
308	337	753
309	337	751
310	338	750
311	339	747
312	339	745
313	340	743
314	341	741
315	341	739
316	342	737
317	342	735
318	343	734
319	344	732
320	345	730
321	345	728
322	346	726
323	347	724
324	347	722
325	348	720
326	349	718
327	350	717
328	350	715
329	351	713
330	352	711
331	352	710
332	353	708
333	354	706
334	354	704
335	355	702
336	356	701
337	357	699
338	358	698
339	358	696
340	359	694
341	360	693
342	360	691
343	361	689
344	362	688
345	363	686
346	364	685
347	364	683
348	365	681
349	366	679
350	366	678
351	367	676
352	368	674
353	368	673
354	369	671
355	370	669
356	370	668
357	371	666
358	372	664
359	372	662
360	373	661
361	374	659
362	375	658
363	375	656
364	376	654
365	377	653
366	377	651
367	378	649
368	379	648
369	379	646
370	380	644
371	381	643
372	381	641
373	382	640
374	383	639
375	384	637
376	384	635
377	385	634
378	386	632
379	386	630
380	387	629
381	388	627
382	388	626
383	389	624
384	390	623
385	390	621
386	391	619
387	391	618
388	392	616
389	393	615
390	394	613
391	394	612
392	395	610
393	396	609
394	396	607
395	397	606
396	398	604
397	398	603
398	399	601
399	400	600
400	400	598
401	401	597
402	402	595
403	402	594
404	403	592
405	404	591
406	404	589
407	405	588
408	406	587
409	407	586
410	407	584
411	408	583
412	409	581
413	409	580
414	410	578
415	411	577
416	411	575
417	412	574
418	413	573
419	414	572
420	414	570
421	415	569
422	416	567
423	416	566
424	417	564
425	418	563
426	418	561
427	419	560
428	420	559
429	420	557
430	421	556
431	422	555
432	423	554
433	423	552
434	424	551
435	425	550
436	426	548
437	426	547
438	427	546
439	428	544
440	428	543
441	429	542
442	429	540
443	430	539
444	431	537
445	431	536
446	432	535
447	433	533
448	433	532
449	434	531
450	435	529
451	435	528
452	436	527
453	437	525
454	437	524
455	438	523
456	439	522
457	440	520
458	440	519
459	441	518
460	442	516
461	442	515
462	443	514
463	443	512
464	444	511
465	445	510
466	445	508
467	446	507
468	447	506
469	447	505
470	448	503
471	449	502
472	449	501
473	450	499
474	451	498
475	451	497
476	452	496
477	452	494
478	453	493
479	454	492
480	454	490
481	455	489
482	456	488
483	456	487
484	457	485
485	458	484
486	458	483
487	459	481
488	459	480
489	460	479
490	461	478
491	461	476
492	462	475
493	463	474
494	463	473
495	464	471
496	465	470
497	465	469
498	466	468
499	466	466
500	467	465
501	467	464
502	468	463
503	469	461
504	469	460
505	470	459
506	471	458
507	471	456
508	472	455
509	473	454
510	473	453
511	474	452
512	474	450
513	475	449
514	476	448
515	476	447
516	477	446
517	478	444
518	478	443
519	479	442
520	480	441
521	480	440
522	481	439
523	482	437
524	482	436
525	483	435
526	484	434
527	484	433
528	485	432
529	486	431
530	486	429
531	487	428
532	488	427
533	488	426
534	489	425
535	490	424
536	490	423
537	491	421
538	492	420
539	492	419
540	493	418
541	493	417
542	494	416
543	495	415
544	495	414
545	496	412
546	497	411
547	497	410
548	498	409
549	499	408
550	499	407
551	500	406
552	501	405
553	501	403
554	502	402
555	503	401
556	503	400
557	504	399
558	505	398
559	505	397
560	506	396
561	506	395
562	507	393
563	508	392
564	508	391
565	509	390
566	510	389
567	511	388
568	511	387
569	512	386
570	513	385
571	514	384
572	514	383
573	515	382
574	516	381
575	516	380
576	517	379
577	518	378
578	518	377
579	519	376
580	520	375
581	520	374
582	521	373
583	522	372
584	523	371
585	523	370
586	524	369
587	525	368
588	526	367
589	527	366
590	528	365
591	529	364
592	529	363
593	530	362
594	531	361
595	531	360
596	532	359
597	533	358
598	533	357
599	534	356
600	535	355
601	536	354
602	537	353
603	537	352
604	538	351
605	538	350
606	539	349
607	540	348
608	540	347
609	541	346
610	542	345
611	543	344
612	543	343
613	544	342
614	545	341
615	545	340
616	546	339
617	547	338
618	548	337
619	548	336
620	549	335
621	550	334
622	550	333
623	551	332
624	552	331
625	552	330
626	553	329
627	554	328
628	555	327
629	555	326
630	556	325
631	557	324
632	557	323
633	558	322
634	559	321
635	559	320
636	560	319
637	561	318
638	562	317
639	562	316
640	563	315
641	563	314
642	564	313
643	565	312
644	566	311
645	566	310
646	567	309
647	568	308
648	569	307
649	569	306
650	570	305
651	571	304
652	572	304
653	572	303
654	573	302
655	574	301
656	575	300
657	575	299
658	576	298
659	577	297
660	577	296
661	578	295
662	579	294
663	580	293
664	580	292
665	581	291
666	582	290
667	582	289
668	583	288
669	584	287
670	585	286
671	585	286
672	586	285
673	587	284
674	588	283
675	589	282
676	589	281
677	590	280
678	591	279
679	592	278
680	592	277
681	593	276
682	594	275
683	594	274
684	595	273
685	596	273
686	597	272
687	597	271
688	598	270
689	599	269
690	600	268
691	600	267
692	601	266
693	601	265
694	602	264
695	603	263
696	604	262
697	605	261
698	605	260
699	606	259
700	606	258
701	607	257
702	608	256
703	608	256
704	609	255
705	610	254
706	610	253
707	611	252
708	612	251
709	613	250
710	613	249
711	614	248
712	614	247
713	615	246
